UniqueID,College/University Name,Street,City ,State,Latitude,Longitude,Power-1,Power-2,NCAA Asgt,ND Asgt,ND Asgt2,ND Asgt3
1,Adrian College,10 S Madison St,Adrian,MI,41.89933656,-84.04454673,2.4514,2.9270,3,2,1,5
2,Alfred State College  (add 2018),10 Upper College Drive,Alfred,NY,42.25433368,-77.78964604,0,0.0000,0,,,
3,Alma College,614 W Superior St,Alma,MI,43.38001144,-84.65565437,5.1091,5.9410,3,6,1,5
4,Augsburg,2211 Riverside Ave,Minneapolis,MN,44.96354079,-93.26783453,9.634,8.8900,2,6,5,3
5,Augustana (IL),639 38th St,Rock Island,IL,41.47059084,-90.58373308,0,0.3010,1,2,4,3
6,Averett University (add 2017),420 W Main St,Danville,VA,36.58314079,-79.40876963,0,0.0000,4,5,1,1
7,Baldwin Wallace,275 Eastland Rd,Berea,OH,41.3696768,-81.86433349,2.6318,2.2720,3,6,1,5
8,Bridgewater State University,131 Summer Street,Bridgewater ,MA,41.98880881,-70.97180703,0.1281,0.2220,6,4,6,4
9,The College at Brockport,350 New Campus Dr,Brockport ,NY,43.211366,-77.954699,1.208,1.9350,5,4,1,1
10,Buena Vista,610 W 4th St,Storm Lake,IA,42.64408234,-95.19900169,0.1797,0.2390,1,6,5,3
11,Case Western Reserve,10900 Euclid Ave,Cleveland,OH,41.50273893,-81.60733449,0,0.2400,3,6,4,5
12,Castleton University,"62 Alumni Dr,",Castleton,VT,43.60539542,-73.18517598,0.2504,0.2920,6,4,6,4
13,Centenary (NJ),400 Jefferson St,Hackettstown,NJ,40.85399244,-74.82567817,1.2835,2.0610,5,3,3,2
14,Central College,812 University St,Pella ,IA,41.40451929,-92.91799576,3.7993,3.4400,1,6,5,6
15,Chicago,5801 S Ellis Ave,Chicago ,IL,41.83861021,-87.68661087,0.303,0.3240,2,2,4,6
16,Coast Guard,31 Mohegan Ave Pkwy,New London,CT,41.33285515,-72.09627455,0.6951,0.3370,6,4,2,4
17,Coe,1220 First Avenue NE,Cedar Rapids ,IA,41.96678846,-91.67818981,5.7495,5.7740,1,2,6,6
18,College of Mount Saint Vincent,6301 Riverdale Ave,Bronx ,NY,40.84911597,-73.85295233,0.1378,0.2440,5,3,2,2
19,Concordia (WI),12800 N Lake Shore Dr,Mequon,WI,43.23512416,-87.98079447,0.0755,0.4370,2,1,6,6
20,Concordia-Moorhead,901 8th St St,Moorhead,MN,46.85868171,-96.74244891,2.2039,2.2190,2,6,5,3
21,Cornell College,600 1st St,Mt Vernon,IA,42.03266569,-93.45964983,4.8446,5.6270,1,1,5,6
22,Delaware Valley,700 E Butler Ave,Doylestown,PA,40.31391804,-75.12804792,5.3407,4.2300,4,3,3,2
23,Dubuque,2000 University Ave,Dubuque,IA,42.497787,-90.692193,0.2252,0.2640,1,2,5,6
24,Elizabethtown,1 Alpha Dr,Elizabethtown,PA,40.15326247,-76.59895613,0.2854,0.3330,5,5,3,1
25,Elmhurst,190 S Prospect Ave,Elmhurst,IL,41.89717648,-87.94316943,4.983,6.2500,2,1,6,6
26,Ferrum College,215 Ferrum Mountain Rd,Ferrum,VA,36.93136682,-80.01487485,1.6333,2.0240,4,5,1,1
27,Gettysburg,300 N Washington St,Gettysburg,PA,39.83036117,-77.23386301,1.359,2.0790,4,5,3,1
28,Greensboro College,815 W Market St,Greensboro,NC,36.07131282,-79.80138949,0.2641,0.3210,4,5,1,1
29,Hampden-Sydney College,"80 College Rd,",Hampden Sydney ,VA,37.64882817,-78.70157159,0,0.1850,4,5,1,1
30,Heidelberg,310 E Market St,Tiffin,OH,41.11662868,-83.1800018,2.7072,2.7380,3,6,1,5
31,Hunter,695 Park Ave,New York,NY,40.768608,-73.96505,1.054,0.2310,5,3,2,2
32,(EXCLUDE) Huntingdon College,1500 E Fairview Ave,Montgomery,AL,32.34724369,-86.2672602,0,0.2410,1,1,3,5
33,Ithaca,953 Danby Rd,Ithaca,NY,42.4222,-76.5,5.1144,5.4870,5,3,6,1
34,John Carroll,1 John Carroll Boulevard,University Heights,OH,41.4948048,-81.53482107,2.641,2.9730,3,6,1,5
35,Johns Hopkins,400 N. Charles Street,Baltimore,MD,39.30097988,-76.61064805,0.376,0.2510,4,5,3,1
36,Johnson & Wales (RI),8 Abbott Park Pl,Providence,RI,41.819957,-71.412757,1.8831,1.8760,6,4,2,4
37,Keystone College,1 College Rd,La Plume,PA,41.55785316,-75.75807206,0,0.0000,5,3,6,2
38,King's (PA),133 N River St,Wilkes-Barre,PA,41.249695,-75.879898,0.2298,0.2940,4,5,3,2
